Code,Name,Self-harm,SEN,Difficulties,Child Carer,Drinkers,Safeguarding £
E06000001,Hartlepool,12,32,65,8,90,46
E06000002,Middlesbrough,56,54,67,8,36,22
E06000003,Redcar and Cleveland,48,72,72,,76,30
E06000004,Stockton-on-Tees,28,48,70,13,44,26
E06000005,Darlington,45,61,62,,100,33
E06000006,Halton,70,60,67,5,59,31
E06000007,Warrington,74,25,69,2,53,20
E06000008,Blackburn with Darwen,40,44,76,1,33,21
E06000009,Blackpool,100,61,67,30,35,57
E06000010,Kingston upon Hull,34,17,74,13,43,25
E06000011,East Riding of Yorkshire,25,4,71,3,79,0
E06000012,North East Lincolnshire,23,15,99,55,46,20
E06000013,North Lincolnshire,13,27,79,1,53,27
E06000014,York,47,23,79,28,71,15
E06000015,Derby,34,48,82,55,33,33
E06000016,Leicester,17,50,69,8,0,26
E06000017,Rutland,13,6,79,12,53,26
E06000018,Nottingham,39,58,74,3,19,24
E06000019,Herefordshire,37,55,78,21,60,11
E06000020,Telford and Wrekin,45,48,73,4,44,26
E06000021,Stoke-on-Trent,59,46,72,100,42,29
E06000022,Bath and North East Somerset,48,47,83,3,48,22
E06000023,Bristol,56,53,73,10,45,21
E06000024,North Somerset,46,36,80,10,57,14
E06000025,South Gloucestershire,46,37,83,4,73,7
E06000026,Plymouth,66,94,83,39,41,20
E06000027,Torbay,93,100,80,19,52,49
E06000028,Bournemouth,71,49,75,13,63,34
E06000029,Poole,87,62,77,7,45,21
E06000030,Swindon,89,65,72,28,33,22
E06000031,Peterborough,53,17,68,3,33,29
E06000032,Luton,24,36,70,6,3,21
E06000033,Southend-on-Sea,17,28,80,2,60,27
E06000034,Thurrock,12,36,64,3,35,5
E06000035,Medway,36,67,78,13,43,13
E06000036,Bracknell Forest,47,22,75,46,30,31
E06000037,West Berkshire,46,15,84,9,39,26
E06000038,Reading,45,58,86,23,27,34
E06000039,Slough,35,19,75,14,4,35
E06000040,Windsor and Maidenhead,36,47,73,12,42,16
E06000041,Wokingham,41,22,81,17,30,24
E06000042,Milton Keynes,30,27,71,29,29,14
E06000043,Brighton and Hove,48,59,78,11,91,30
E06000044,Portsmouth,51,59,74,8,38,15
E06000045,Southampton,49,88,68,5,35,33
E06000046,Isle of Wight,38,52,75,26,66,42
E06000047,County Durham,26,47,80,5,72,25
E06000049,Cheshire East,48,20,72,2,65,12
E06000050,Cheshire West and Chester,41,31,71,14,45,16
E06000051,Shropshire,32,20,72,1,54,12
E06000052,Cornwall,47,47,66,35,73,13
E06000053,Isles of Scilly,,,,,,100
E06000054,Wiltshire,57,38,71,5,47,15
E06000055,Bedford,38,31,75,3,38,27
E06000056,Central Bedfordshire,34,41,69,11,93,19
E06000057,Northumberland,68,62,81,6,89,22
E08000001,Bolton,38,36,66,6,49,10
E08000002,Bury,38,38,65,7,54,18
E08000003,Manchester,20,49,64,33,18,44
E08000004,Oldham,29,25,68,12,46,19
E08000005,Rochdale,34,20,62,6,35,19
E08000006,Salford,52,84,69,4,64,23
E08000007,Stockport,39,45,65,18,58,11
E08000008,Tameside,38,28,62,8,66,19
E08000009,Trafford,29,20,55,3,57,16
E08000010,Wigan,64,54,75,7,66,11
E08000011,Knowsley,61,59,56,7,34,31
E08000012,Liverpool,40,58,56,6,30,17
E08000013,St. Helens,76,51,64,7,58,25
E08000014,Sefton,51,20,65,10,39,17
E08000015,Wirral,48,76,55,3,58,24
E08000016,Barnsley,65,60,69,3,91,21
E08000017,Doncaster,39,33,77,6,58,29
E08000018,Rotherham,23,33,77,5,81,62
E08000019,Sheffield,15,38,78,2,59,18
E08000021,Newcastle upon Tyne,36,44,78,12,58,26
E08000022,North Tyneside,60,43,72,,77,17
E08000023,South Tyneside,53,49,80,10,56,33
E08000024,Sunderland,24,61,65,11,88,51
E08000025,Birmingham,17,28,67,6,16,23
E08000026,Coventry,30,34,72,4,29,38
E08000027,Dudley,39,37,68,4,70,27
E08000028,Sandwell,24,49,63,3,30,23
E08000029,Solihull,27,46,64,48,39,27
E08000030,Walsall,30,12,71,17,34,38
E08000031,Wolverhampton,45,25,72,12,35,28
E08000032,Bradford,36,56,62,0,49,11
E08000033,Calderdale,22,27,71,8,66,32
E08000034,Kirklees,25,34,71,2,40,25
E08000035,Leeds,38,39,73,6,48,28
E08000036,Wakefield,45,37,79,10,78,18
E08000037,Gateshead,30,33,78,9,88,20
E09000001,City of London,,99,35,,,58
E09000002,Barking and Dagenham,0,48,66,11,6,32
E09000003,Barnet,19,45,65,7,31,36
E09000004,Bexley,5,37,73,8,36,22
E09000005,Brent,2,27,100,19,8,24
E09000006,Bromley,10,45,69,8,46,21
E09000007,Camden,7,48,69,26,16,36
E09000008,Croydon,16,40,54,8,22,49
E09000009,Ealing,8,28,64,22,11,18
E09000010,Enfield,3,54,70,13,7,9
E09000011,Greenwich,6,35,70,29,19,33
E09000012,Hackney,13,71,74,56,17,48
E09000013,Hammersmith and Fulham,14,29,59,29,14,49
E09000014,Haringey,15,43,69,23,28,19
E09000015,Harrow,9,20,67,25,10,25
E09000016,Havering,0,0,64,5,40,31
E09000017,Hillingdon,8,6,59,9,27,26
E09000018,Hounslow,27,67,68,4,15,21
E09000019,Islington,14,62,67,14,24,81
E09000020,Kensington and Chelsea,6,30,53,26,7,45
E09000021,Kingston upon Thames,20,7,,8,51,11
E09000022,Lambeth,16,49,60,24,13,37
E09000023,Lewisham,19,24,70,8,19,18
E09000024,Merton,14,52,73,20,16,25
E09000025,Newham,3,26,69,11,0,26
E09000026,Redbridge,2,21,62,8,0,20
E09000027,Richmond upon Thames,30,22,57,5,67,9
E09000028,Southwark,16,45,73,40,9,37
E09000029,Sutton,40,27,75,5,32,23
E09000030,Tower Hamlets,3,59,70,40,0,13
E09000031,Waltham Forest,2,45,72,31,16,20
E09000032,Wandsworth,14,79,77,58,19,39
E09000033,Westminster,3,65,62,28,4,39
E10000002,Buckinghamshire,29,15,72,5,49,21
E10000003,Cambridgeshire,61,32,77,4,55,18
E10000006,Cumbria,37,12,69,7,60,21
E10000007,Derbyshire,47,48,81,22,71,10
E10000008,Devon,53,78,84,12,67,24
E10000009,Dorset (Cty),53,41,94,8,49,29
E10000011,East Sussex,46,42,71,1,60,14
E10000012,Essex,21,28,71,3,44,11
E10000013,Gloucestershire,38,33,73,0,65,16
E10000014,Hampshire,53,35,71,14,42,8
E10000015,Hertfordshire,18,41,58,17,48,15
E10000016,Kent,25,37,69,3,45,16
E10000017,Lancashire,36,18,68,8,50,12
E10000018,Leicestershire,16,15,85,9,55,10
E10000019,Lincolnshire,19,35,79,2,49,18
E10000020,Norfolk,33,54,51,4,62,8
E10000021,Northamptonshire,68,31,68,9,50,27
E10000023,North Yorkshire,43,26,65,1,65,2
E10000024,Nottinghamshire,43,16,75,15,64,18
E10000025,Oxfordshire,36,48,72,20,42,13
E10000027,Somerset,75,58,73,19,54,27
E10000028,Staffordshire,34,10,72,3,49,24
E10000029,Suffolk,37,16,77,5,36,13
E10000030,Surrey,39,38,73,0,52,21
E10000031,Warwickshire,40,39,66,2,66,27
E10000032,West Sussex,47,41,79,22,59,13
E10000034,Worcestershire,25,38,96,18,45,13
